Bhagabanpur,Patrapada B.O,751019,Khandagiri,KHORDA,ODISHA
HIG-K-5-1000,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
Jadupur,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
LIG-K4-3000,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
Aiginia,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
Chhotraypur,Patrapada B.O,751019,Khandagiri,KHORDA,ODISHA
Damodarpur,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
Hatasahi,Sarakantara B.O,751019,Khandagiri,KHORDA,ODISHA
kalingavihar BO,Dumduma Housing Board Colony S.O,751019,Khandagiri,KHORDA,ODISHA
Kochilaput,Jadupur B.O,751019,Lingaraj,KHORDA,ODISHA
Patrapada,Patrapada B.O,751019,Khandagiri,KHORDA,ODISHA
Sijua,Patrapada B.O,751019,Khandagiri,KHORDA,ODISHA
EWS,Kalinga Vihar B.O,751019,Khordha,KHORDA,ODISHA
BHUBANESWAR,Aerodrome Area S.O,751020,Lingaraj,KHORDA,ODISHA
Bhubaneswar,Sailashree Vihar S.O,751021,Khordha,KHORDA,ODISHA
Bhubaneswar,Bhoinagar S.O,751022,Khordha,KHORDA,ODISHA
S.E .RLY PROJ. COMPLEX,S.E Rly.Proj. Complex S.O,751023,Khordha,KHORDA,ODISHA
ACHARYANAGAR,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
PADMAKESHARIPUR,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
PATANA,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
KIIT UNIVERSITY,K I I T S.O,751024,Chandaka,KHORDA,ODISHA
Bhubaneswar,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
GURUDIBANIA,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
JHARANA SAHI,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
KANANBIHAR,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
Ostapada,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
Kalarahanga,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
Tangibanta,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
BENUBIHAR,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
DAMANA,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
KALAJHARI,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
Injana,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
Rokat,Kalarahanga B.O,751024,Saheednagar,KHORDA,ODISHA
SREEBIHAR,Patia Gds B.O,751024,Khordha,KHORDA,ODISHA
GADA GOPINATH PRASAD,G.G.P.Colony S.O,751025,Saheednagar,KHORDA,ODISHA
Andharua,Andharua B.O,751029,Chandaka,KHORDA,ODISHA
BIJU NAGAR,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
SATYANAGAR B.PUR,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
TELUGU SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
AMBEDKAR SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
Bhubaneswar,Ghatikia B.O,751029,Khordha,KHORDA,ODISHA
MAHIMA,Andharua B.O,751029,Chandaka,KHORDA,ODISHA
Malipada,Malipada B.O,751029,Chandaka,KHORDA,ODISHA
RANGANISAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
Dasapur,Andharua B.O,751029,Chandaka,KHORDA,ODISHA
GHATIKIA,Ghatikia B.O,751029,Khordha,KHORDA,ODISHA
Gothapatna,Malipada B.O,751029,Chandaka,KHORDA,ODISHA
bharatpur,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
KATHAGOLA BASTI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
MAJHI SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
RADHAKRUSHNA SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
SANTOSHI NAGAR,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
CHANDESWAR SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
Jagannathprasad,Andharua B.O,751029,Chandaka,KHORDA,ODISHA
Nuagan,Malipada B.O,751029,Chandaka,KHORDA,ODISHA
SAMBIT VILLA,Ghatikia B.O,751029,Khordha,KHORDA,ODISHA
MARUTI VILLAGE,Ghatikia B.O,751029,Khordha,KHORDA,ODISHA
SHYAMPUR,Ghatikia B.O,751029,Khordha,KHORDA,ODISHA
GANGIPICHUNAGAR,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
HARAPARBATI SAHI,Bharatpur B.O,751029,Khandagiri,KHORDA,ODISHA
coir board,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
handicraft,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
UBI TC with Qr,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
bank of India,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
central bank of India,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
S S College,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
gondamunda,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
IGMAIC,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
BPUT,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
saisibam,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
MDTC & KVIC board,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
"CET ladies hostel 1,2,3",Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
jagamara,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
kdvic j16 with qr,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
talabania,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
JEE Complex,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
Khandagiri,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
talguda office,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
VRC for HP,Khandagiri S.O,751030,Khandagiri,KHORDA,ODISHA
Puri town,Puri H.O,752001,Sadar,PURI,ODISHA
Rasola,Balisahi S.O,752001,Nayagarh,NAYAGARH,ODISHA
Alasankha,Mahapur B.O,752002,Gop,PURI,ODISHA
Alikia,Baliguali B.O,752002,Sadar,PURI,ODISHA
Bahardarigan,Mahapur B.O,752002,Gop,PURI,ODISHA
Bantaligram,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Dohitakhanda,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Gopinathpur alias Routrapur,Gopinathpur B.O,752002,Sadar,PURI,ODISHA
Gopinathpur alias Routrapur,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Mahapur,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Rahangiria,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
rautarapur,Gopinathpur B.O,752002,Brahmagiri,PURI,ODISHA
samang,Gopinathpur B.O,752002,Brahmagiri,PURI,ODISHA
Sanaalikia,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Ura,Baliguali B.O,752002,Sadar,PURI,ODISHA
Atharanala,Gopinathpur B.O,752002,Sadar,PURI,ODISHA
Balia,Talajanga B.O,752002,Chandanpur,PURI,ODISHA
Bereda,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Chatola,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Chhaitana,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
chitapada,Badagaon B.O,752002,Gop,PURI,ODISHA
Gadabhingura,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Garhbhingura,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Haingara,Badagaon B.O,752002,Gop,PURI,ODISHA
Jakhara,Badagaon B.O,752002,Gop,PURI,ODISHA
Madaranga,Bantaligram B.O,752002,Gop,PURI,ODISHA
Mohanipur,Baliguali B.O,752002,Sadar,PURI,ODISHA
Narasingha ballabha,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Narasinghpurpattna,Baliguali B.O,752002,Sadar,PURI,ODISHA
Putupada,Badagaon B.O,752002,Gop,PURI,ODISHA
Rebatiraman,Khadipada B.O,752002,Sadar,PURI,ODISHA
Samanga,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Abhayapur,Biraharekrushnapur B.O,752002,Brahmagiri,PURI,ODISHA
Bhuan,Chhaitana B.O,752002,Gop,PURI,ODISHA
chinchol,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Garhbhingura,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Girola,Gorual B.O,752002,Sadar,PURI,ODISHA
Gopinathpur,Gopinathpur B.O,752002,Brahmagiri,PURI,ODISHA
Gorual,Gorual B.O,752002,Sadar,PURI,ODISHA
Inchera,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Paikpada,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Phanaphana,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Sipasurubili,Khadipada B.O,752002,Brahmagiri,PURI,ODISHA
Uttarsarpada,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Balabhadrapur Uttarhana,Talajanga B.O,752002,Chandanpur,PURI,ODISHA
Bania Sahi,Baniasahi B.O,752002,Sadar,PURI,ODISHA
Bania Sahi,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Bastu,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Dopada,Badagaon B.O,752002,Gop,PURI,ODISHA
Harekrushnapur,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Jagannath Bidyadharpur,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Kasijagannathpur,Khadipada B.O,752002,Sadar,PURI,ODISHA
Nalihana,Garhbhingura B.O,752002,Sadar,PURI,ODISHA
Parala,Bantaligram B.O,752002,Gop,PURI,ODISHA
Puri Station Road,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Sudukhanda,Mahapur B.O,752002,Gop,PURI,ODISHA
Talakapa,Mahapur B.O,752002,Gop,PURI,ODISHA
Uruali,Mahapur B.O,752002,Gop,PURI,ODISHA
Alipada,Gorual B.O,752002,Sadar,PURI,ODISHA
Atharanala alias samang,Gopinathpur B.O,752002,Sadar,PURI,ODISHA
Baliguali,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Beldal,Baliguali B.O,752002,Sadar,PURI,ODISHA
Bhartipur,Gopinathpur B.O,752002,Sadar,PURI,ODISHA
Bhimapur,Baliguali B.O,752002,Sadar,PURI,ODISHA
Bhitar darigan,Mahapur B.O,752002,Gop,PURI,ODISHA
Biraharekrishnapur,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Gadabangor,Badagaon B.O,752002,Gop,PURI,ODISHA
Kharipada,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
Nilakanthpada,Chhaitana B.O,752002,Sadar,PURI,ODISHA
Purusottamballav,Biraharekrushnapur B.O,752002,Chandanpur,PURI,ODISHA
Rendua,Biraharekrushnapur B.O,752002,Sadar,PURI,ODISHA
Samangara,Baliguali B.O,752002,Sadar,PURI,ODISHA
Sasandamodarpur,Sasana Damodarpur B.O,752002,Sadar,PURI,ODISHA
Sipasurubili,Gorual B.O,752002,Sadar,PURI,ODISHA
Sujanagar,Bantaligram B.O,752002,Gop,PURI,ODISHA
Talajanga,Puri Station Road S.O,752002,Sadar,PURI,ODISHA
