Lakshmanpur (RV),Neil Island B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Marine Hill,Aberdeen Bazar S.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Ram Nagar (RV),Sitapur B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Atlanta Point,Aberdeen Bazar S.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Ram Nagar (RV),Neil Island B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bharatpur (RV),Neil Island B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Neil Kendra (RV),Neil Island B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Port Blair,Aberdeen Bazar S.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Dignabad,Aberdeen Bazar S.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sitapur (RV),Sitapur B.O,744104,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Chidiyatapu (RV),Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Garacharma School,Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Makkapahar,Beodnabad B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Munda Pahar (EFA),Bimbiton B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
North Sentinel Island (SA),Rutland B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sivaji Housing colony,Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Teylorabad (RV),Garacharama S.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Teyralabad village,Calicut B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Bada Khari (FC),Rutland B.O,744105,Port Blair,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS
