Parsuli,Tumakala B.O,491001,Dhamdha,DURG,CHATTISGARH
Piperchhedi,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Tekapar,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Birejhar,Anjora B.O,491001,Durg,DURG,CHATTISGARH
Bodegaon,Nandkatti B.O,491001,Durg,DURG,CHATTISGARH
Bori,Bori B.O,491001,Durg,DURG,CHATTISGARH
Boribuzurg,Durg H.O,491001,Dhamdha,DURG,CHATTISGARH
Dhaba,Bhendsar B.O,491001,Durg,DURG,CHATTISGARH
Jogigupha,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
Kharra,Temri B.O,491001,Dhamdha,DURG,CHATTISGARH
Khursidih,Borai B.O,491001,Durg,DURG,CHATTISGARH
Kopedih,Anjora B.O,491001,Rajnandgaon,RAJNANDGAON,CHATTISGARH
Litya Semariya,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
Nawagaon,Temri B.O,491001,Rajnandgaon,RAJNANDGAON,CHATTISGARH
Rasmeda,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Silli,Tumakala B.O,491001,Dhamdha,DURG,CHATTISGARH
Tumakalan,Tumakala B.O,491001,Dhamdha,DURG,CHATTISGARH
Borai,Borai B.O,491001,Durg,DURG,CHATTISGARH
Chote Purda,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
Malood,Bhendsar B.O,491001,Durg,DURG,CHATTISGARH
Sewti,Hirri B.O,491001,Dhamdha,DURG,CHATTISGARH
Temri,Temri B.O,491001,Durg,DURG,CHATTISGARH
Dandesara,Nawagaon Purda B.O,491001,Durg,DURG,CHATTISGARH
Dewada,Anjora B.O,491001,Rajnandgaon,RAJNANDGAON,CHATTISGARH
Funda,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Hirri,Hirri B.O,491001,Dhamdha,DURG,CHATTISGARH
Hirri,Hirri B.O,491001,Durg,DURG,CHATTISGARH
Khamharia,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Parsada,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Pisegaon,Pisgaon B.O,491001,Durg,DURG,CHATTISGARH
Potiyakala,Hanoda B.O,491001,Durg,DURG,CHATTISGARH
Purda (Bade),Nawagaon Purda B.O,491001,Dhamdha,DURG,CHATTISGARH
Thanaud,Anjora B.O,491001,Durg,DURG,CHATTISGARH
Thanod,Anjora B.O,491001,Durg,DURG,CHATTISGARH
Balodi,Bhendsar B.O,491001,Durg,DURG,CHATTISGARH
Bhatgaon,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Birejhar,Hirri B.O,491001,Durg,DURG,CHATTISGARH
Birejhar,Temri B.O,491001,Dhamdha,DURG,CHATTISGARH
Chicha,Chicha B.O,491001,Durg,DURG,CHATTISGARH
Dhanora,Hanoda B.O,491001,Durg,DURG,CHATTISGARH
Durg,Durg H.O,491001,Durg,DURG,CHATTISGARH
Ganiyari,Bhendsar B.O,491001,Durg,DURG,CHATTISGARH
Garadih,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
Ghasra,Tumakala B.O,491001,Dhamdha,DURG,CHATTISGARH
Khapri,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Khapri,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Koihapuri,Pisgaon B.O,491001,Durg,DURG,CHATTISGARH
Nankatthi,Nandkatti B.O,491001,Durg,DURG,CHATTISGARH
Potia,Borai B.O,491001,Dhamdha,DURG,CHATTISGARH
Shiv Kokdi,Chicha B.O,491001,Dhamdha,DURG,CHATTISGARH
Siloda,Rasmara B.O,491001,Durg,DURG,CHATTISGARH
Tumakala,Tumakala B.O,491001,Durg,DURG,CHATTISGARH
Anjora,Anjora B.O,491001,Durg,DURG,CHATTISGARH
Anjora ( Dhaba),Nagpura B.O,491001,Durg,DURG,CHATTISGARH
Arasnara,Nandkatti B.O,491001,Durg,DURG,CHATTISGARH
Kutelbhata,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Routa,Temri B.O,491001,Dhamdha,DURG,CHATTISGARH
Siltara,Bori B.O,491001,Dhamdha,DURG,CHATTISGARH
Changori,Anjora B.O,491001,Durg,DURG,CHATTISGARH
Gadaghat,Tumakala B.O,491001,Dhamdha,DURG,CHATTISGARH
Hanoda,Hanoda B.O,491001,Durg,DURG,CHATTISGARH
Jeora,Jeora Sirsa B.O,491001,Durg,DURG,CHATTISGARH
Kareli,Nawagaon Purda B.O,491001,Durg,DURG,CHATTISGARH
Nawagaon Purda,Nawagaon Purda B.O,491001,Durg,DURG,CHATTISGARH
Panduka,Hirri B.O,491001,Dhamdha,DURG,CHATTISGARH
Pathriya,Nawagaon Purda B.O,491001,Durg,DURG,CHATTISGARH
Rawelidih,Nandkatti B.O,491001,Durg,DURG,CHATTISGARH
Semaria,Litia Semaria B.O,491001,Dhamdha,DURG,CHATTISGARH
